iter	Logloss
0	0.6841345163
1	0.6760358553
2	0.6691991787
3	0.6625552756
4	0.6572626268
5	0.6520073413
6	0.647587397
7	0.6435986947
8	0.6401517613
9	0.6366642283
10	0.6338570269
11	0.6312169069
12	0.6295590873
13	0.6274195709
14	0.6252137953
15	0.6233857234
16	0.6217118511
17	0.620058288
18	0.6186384624
19	0.6174324865
20	0.6160853753
21	0.6148783328
22	0.6139081759
23	0.6130343476
24	0.6122922301
25	0.6113198841
26	0.6104484626
27	0.6097203705
28	0.6090142291
29	0.6084075049
30	0.607715367
31	0.6072098255
32	0.6069256151
33	0.6063774745
34	0.6059463498
35	0.6056523667
36	0.6051232349
37	0.6047502535
38	0.6043404065
39	0.6040284442
40	0.6036901807
41	0.603432692
42	0.6030757234
43	0.6027470718
44	0.602493803
45	0.6022662406
46	0.6019789492
47	0.6016956448
48	0.6013790643
49	0.6011186382
50	0.6008136364
51	0.6006021518
52	0.6003076424
53	0.6000617991
54	0.5998245347
55	0.5995434189
56	0.5993265681
57	0.5991439435
58	0.5989771486
59	0.5988220727
60	0.5985931346
61	0.5984045843
62	0.598226185
63	0.5981040234
64	0.5979776679
65	0.5978146088
66	0.5976588028
67	0.5974285144
68	0.5972347524
69	0.5970652882
70	0.596899571
71	0.5967962949
72	0.5965783668
73	0.5963714762
74	0.5961694465
75	0.5959810963
76	0.5958534646
77	0.5957102642
78	0.5955477309
79	0.5954158723
80	0.5952815804
81	0.5951608352
82	0.5950515362
83	0.5949117061
84	0.5948168884
85	0.5946631591
86	0.5945112691
87	0.5943785834
88	0.5942964257
89	0.5941999752
90	0.5940287691
91	0.59394614
92	0.5938020274
93	0.5937412972
94	0.5936283722
95	0.5935026543
96	0.593359583
97	0.5932355498
98	0.5930922858
99	0.5929815281
100	0.5928459287
101	0.592738303
102	0.5926494127
103	0.592534766
104	0.5924607332
105	0.5923393314
106	0.5922781273
107	0.5921947136
108	0.5921092924
109	0.5919949902
110	0.5919015501
111	0.5917960538
112	0.5916886858
113	0.5916011191
114	0.5914859262
115	0.591406668
116	0.5913041905
117	0.5912265271
118	0.5910850909
119	0.5910077504
120	0.5909325224
121	0.5908309252
122	0.5907400042
123	0.5905850163
124	0.5904839555
125	0.5903138516
126	0.5902455672
127	0.590173643
128	0.5901546999
129	0.5900910967
130	0.5899360766
131	0.5898247953
132	0.5897960583
133	0.5897118105
134	0.5896386743
135	0.5895833481
136	0.5895177289
137	0.5894042341
138	0.5893198309
139	0.5892418564
140	0.5891492382
141	0.5890447835
142	0.5889780526
143	0.5888813889
144	0.5887832646
145	0.5886842648
146	0.5886218748
147	0.588569107
148	0.5884520339
149	0.5883834278
150	0.5883032705
151	0.5882421031
152	0.5881949252
153	0.5880591054
154	0.5879791434
155	0.5879205619
156	0.5878695539
157	0.5877809588
158	0.5876797439
159	0.5875997442
160	0.5875547103
161	0.5874881427
162	0.5874124168
163	0.5873628333
164	0.5872520951
165	0.587209492
166	0.5870812716
167	0.5869948073
168	0.5869341474
169	0.5868375962
170	0.5867454256
171	0.5866710283
172	0.5866217572
173	0.5865745127
174	0.5865010608
175	0.5864246752
176	0.5863478368
177	0.5862841153
178	0.5861670251
179	0.5861140222
180	0.5860606804
181	0.5860221134
182	0.5859433286
183	0.5858921895
184	0.5858367049
185	0.5857761147
186	0.5857253177
187	0.5856695096
188	0.5856002392
189	0.5855007013
190	0.5854685021
191	0.585370657
192	0.5852929376
193	0.5852144255
194	0.5851346271
195	0.5850815578
196	0.5850072668
197	0.5849278425
198	0.5848805023
199	0.5848074619
200	0.5847435789
201	0.5846441854
202	0.5845471598
203	0.5844656095
204	0.5844002751
205	0.5843421427
206	0.5842489614
207	0.5841695343
208	0.5840873151
209	0.5840037854
210	0.5839179687
211	0.5837932676
212	0.5836961016
213	0.5836266606
214	0.5835040417
215	0.5834343898
216	0.5833375988
217	0.583231795
218	0.5831646873
219	0.583086462
220	0.5829894342
221	0.5828891272
222	0.5828141434
223	0.5827528749
224	0.5827100402
225	0.5826250945
226	0.5825627207
227	0.5824527088
228	0.5823625183
229	0.5823054432
230	0.582208579
231	0.5821306051
232	0.5820794557
233	0.5819812121
234	0.5819024443
235	0.5818193925
236	0.5817432015
237	0.5816611386
238	0.5815715219
239	0.5815287053
240	0.5814609524
241	0.5814014589
242	0.5813287066
243	0.5812329889
244	0.5811249633
245	0.5810576706
246	0.580984228
247	0.5809137739
248	0.5807980097
249	0.580700851
250	0.5806276701
251	0.5805474707
252	0.5804396676
253	0.5803894995
254	0.5802713376
255	0.5801662878
256	0.5801076205
257	0.5800161354
258	0.5799307845
259	0.5798363795
260	0.5797807173
261	0.5797169696
262	0.5796397391
263	0.5795446659
264	0.5794945901
265	0.579399402
266	0.5793378803
267	0.579273209
268	0.5791995656
269	0.5791047931
270	0.5790133134
271	0.578917779
272	0.5788424554
273	0.5787903838
274	0.5787041644
275	0.5786454693
276	0.5785436352
277	0.5784373176
278	0.578372909
279	0.5783233466
280	0.578252022
281	0.5782091458
282	0.5781201517
283	0.5780188572
284	0.5779518756
285	0.5778771449
286	0.5777962305
287	0.5777190323
288	0.5776634553
289	0.5775671943
290	0.5774913811
291	0.5774272572
292	0.5773471917
293	0.5772649946
294	0.5771584715
295	0.577068137
296	0.5770221823
297	0.576947877
298	0.5768728896
299	0.5767923154
300	0.5767163343
301	0.5766663944
302	0.5766004166
303	0.5765092092
304	0.576457574
305	0.5764258336
306	0.5763564813
307	0.576305262
308	0.5762644572
309	0.576206341
310	0.5761570521
311	0.5760766938
312	0.5760020157
313	0.5759202536
314	0.5758471252
315	0.5757895635
316	0.5757594407
317	0.5756767943
318	0.5755933932
319	0.5755116514
320	0.5754254077
321	0.5753152443
322	0.5752271424
323	0.5751396782
324	0.5750623025
325	0.5750013129
326	0.5749335528
327	0.5748478474
328	0.5747677101
329	0.5747141391
330	0.5746487683
331	0.5745809461
332	0.5745549631
333	0.5744879618
334	0.5744188748
335	0.574361668
336	0.5742999731
337	0.574226346
338	0.5741551694
339	0.5740853951
340	0.5740221475
341	0.5739665847
342	0.5738778034
343	0.5738237053
344	0.5737587755
345	0.573686364
346	0.5736166903
347	0.573557493
348	0.573483522
349	0.5734513172
350	0.573364138
351	0.5733101182
352	0.5732567806
