iter	Passed	Remaining
0	10	5163
1	21	5429
2	33	5493
3	44	5494
4	55	5476
5	66	5473
6	77	5478
7	90	5588
8	105	5777
9	117	5750
10	127	5680
11	139	5672
12	149	5597
13	162	5651
14	179	5805
15	190	5761
16	201	5733
17	217	5826
18	228	5784
19	239	5745
20	254	5801
21	265	5772
22	277	5750
23	289	5743
24	299	5693
25	308	5624
26	325	5695
27	334	5642
28	346	5631
29	358	5610
30	368	5574
31	378	5542
32	393	5563
33	405	5557
34	417	5551
35	434	5606
36	446	5581
37	457	5568
38	469	5549
39	479	5510
40	490	5489
41	501	5467
42	512	5447
43	523	5420
44	534	5407
45	543	5366
46	555	5351
47	567	5343
48	579	5331
49	595	5363
50	608	5359
51	617	5320
52	631	5329
53	645	5329
54	656	5309
55	667	5293
56	678	5274
57	689	5257
58	700	5237
59	713	5233
60	724	5216
61	735	5199
62	747	5187
63	767	5231
64	781	5229
65	796	5237
66	821	5310
67	835	5309
68	860	5372
69	884	5435
70	904	5462
71	917	5453
72	929	5439
73	941	5417
74	952	5399
75	963	5376
76	977	5371
77	988	5349
78	1000	5330
79	1009	5298
80	1020	5276
81	1031	5258
82	1044	5245
83	1054	5222
84	1066	5205
85	1078	5191
86	1089	5171
87	1100	5151
88	1123	5189
89	1135	5173
90	1147	5159
91	1166	5174
92	1178	5156
93	1187	5128
94	1201	5120
95	1212	5102
96	1224	5085
97	1236	5070
98	1245	5043
99	1256	5026
100	1270	5018
101	1281	4999
102	1293	4984
103	1305	4971
104	1316	4954
105	1328	4936
106	1345	4940
107	1356	4922
108	1367	4906
109	1378	4888
110	1389	4870
111	1403	4863
112	1416	4849
113	1427	4834
114	1441	4825
115	1452	4809
116	1463	4792
117	1478	4785
118	1489	4767
119	1500	4752
120	1523	4772
121	1535	4756
122	1546	4739
123	1558	4725
124	1569	4708
125	1581	4694
126	1592	4677
127	1603	4661
128	1612	4636
129	1622	4617
130	1633	4601
131	1645	4588
132	1656	4571
133	1669	4559
134	1683	4550
135	1693	4533
136	1705	4518
137	1718	4509
138	1730	4493
139	1741	4477
140	1753	4465
141	1764	4449
142	1776	4434
143	1790	4425
144	1801	4409
145	1813	4396
146	1824	4381
147	1835	4365
148	1846	4349
149	1857	4334
150	1868	4318
151	1894	4337
152	1905	4321
153	1916	4306
154	1931	4299
155	1942	4283
156	1953	4266
157	1969	4263
158	1981	4250
159	1993	4236
160	2007	4227
161	2020	4215
162	2044	4226
163	2072	4245
164	2085	4234
165	2098	4222
166	2122	4231
167	2134	4218
168	2147	4205
169	2158	4189
170	2169	4174
171	2183	4164
172	2194	4148
173	2213	4147
174	2228	4139
175	2242	4128
176	2254	4114
177	2265	4098
178	2277	4084
179	2288	4068
180	2300	4053
181	2314	4043
182	2325	4028
183	2336	4013
184	2350	4002
185	2361	3986
186	2372	3971
187	2384	3957
188	2395	3941
189	2406	3926
190	2421	3916
191	2431	3901
192	2442	3885
193	2459	3878
194	2473	3868
195	2484	3852
196	2494	3836
197	2505	3821
198	2516	3806
199	2529	3794
200	2540	3779
201	2551	3764
202	2564	3752
203	2576	3738
204	2587	3723
205	2602	3714
206	2613	3699
207	2624	3684
208	2642	3678
209	2668	3684
210	2679	3670
211	2690	3655
212	2702	3641
213	2713	3626
214	2725	3613
215	2736	3597
216	2747	3583
217	2763	3575
218	2775	3560
219	2794	3557
220	2807	3544
221	2818	3529
222	2830	3515
223	2840	3500
224	2851	3485
225	2867	3476
226	2878	3462
227	2890	3447
228	2904	3437
229	2916	3423
230	2928	3409
231	2940	3396
232	2951	3381
233	2962	3367
234	2979	3359
235	2990	3345
236	3002	3331
237	3012	3315
238	3023	3301
239	3033	3286
240	3047	3275
241	3058	3260
242	3070	3247
243	3084	3236
244	3096	3222
245	3107	3208
246	3118	3194
247	3129	3180
248	3142	3167
249	3153	3153
250	3164	3139
251	3176	3125
252	3187	3112
253	3198	3098
254	3210	3084
255	3221	3070
256	3232	3056
257	3243	3042
258	3255	3028
259	3266	3015
260	3286	3009
261	3297	2995
262	3308	2981
263	3322	2969
264	3332	2955
265	3343	2941
266	3362	2934
267	3373	2920
268	3385	2906
269	3396	2893
270	3407	2879
271	3418	2865
272	3429	2851
273	3440	2837
274	3452	2824
275	3463	2810
276	3474	2797
277	3486	2784
278	3497	2770
279	3508	2756
280	3519	2742
281	3530	2729
282	3541	2715
283	3553	2702
284	3564	2689
285	3575	2675
286	3591	2665
287	3603	2652
288	3614	2638
289	3626	2625
290	3638	2613
291	3649	2599
292	3660	2586
293	3672	2572
294	3684	2560
295	3695	2546
296	3706	2533
297	3717	2519
298	3728	2506
299	3739	2493
300	3751	2480
301	3762	2466
302	3773	2453
303	3786	2441
304	3797	2427
305	3808	2414
306	3819	2401
307	3830	2388
308	3849	2379
309	3860	2365
310	3871	2352
311	3888	2342
312	3901	2330
313	3912	2317
314	3926	2306
315	3937	2292
316	3947	2278
317	3960	2266
318	3972	2253
319	3983	2240
320	3996	2228
321	4007	2215
322	4019	2202
323	4030	2189
324	4041	2176
325	4054	2164
326	4065	2150
327	4076	2137
328	4088	2125
329	4099	2111
330	4110	2098
331	4122	2085
332	4132	2072
333	4144	2059
334	4155	2046
335	4166	2033
336	4176	2020
337	4188	2007
338	4200	1994
339	4211	1981
340	4222	1968
341	4235	1956
342	4252	1946
343	4264	1933
344	4275	1920
345	4291	1910
346	4303	1897
347	4314	1884
348	4326	1871
349	4336	1858
350	4347	1845
351	4364	1834
352	4375	1821
353	4387	1809
354	4405	1799
355	4416	1786
356	4427	1773
357	4439	1760
358	4450	1748
359	4468	1737
360	4481	1725
361	4494	1713
362	4507	1701
363	4518	1688
364	4529	1675
365	4540	1662
366	4553	1650
367	4566	1637
368	4577	1624
369	4588	1612
370	4602	1600
371	4613	1587
372	4624	1574
373	4635	1561
374	4646	1548
375	4657	1536
376	4674	1525
377	4694	1515
378	4707	1502
379	4718	1490
380	4729	1477
381	4745	1465
382	4756	1452
383	4767	1440
384	4778	1427
385	4789	1414
386	4799	1401
387	4811	1388
388	4823	1376
389	4833	1363
390	4845	1350
391	4855	1337
392	4868	1325
393	4878	1312
394	4889	1299
395	4903	1287
396	4914	1275
397	4926	1262
398	4939	1250
399	4957	1239
400	4972	1227
401	4983	1214
402	4995	1202
403	5006	1189
404	5017	1177
405	5028	1164
406	5044	1152
407	5055	1140
408	5067	1127
409	5079	1114
410	5089	1102
411	5101	1089
412	5112	1077
413	5123	1064
414	5134	1051
415	5145	1038
416	5156	1026
417	5176	1015
418	5187	1002
419	5200	990
420	5211	978
421	5224	965
422	5235	953
423	5246	940
424	5257	927
425	5268	915
426	5279	902
427	5291	890
428	5302	877
429	5313	865
430	5329	853
431	5341	840
432	5351	828
433	5363	815
434	5374	803
435	5385	790
436	5400	778
437	5411	765
438	5422	753
439	5434	741
440	5445	728
441	5457	716
442	5475	704
443	5486	691
444	5497	679
445	5516	667
446	5526	655
447	5537	642
448	5550	630
449	5561	617
450	5573	605
451	5591	593
452	5602	581
453	5613	568
454	5628	556
455	5640	544
456	5650	531
457	5667	519
458	5678	507
459	5690	494
460	5702	482
461	5714	470
462	5725	457
463	5741	445
464	5752	432
465	5763	420
466	5793	409
467	5806	397
468	5817	384
469	5833	372
470	5844	359
471	5855	347
472	5871	335
473	5882	322
474	5893	310
475	5904	297
476	5915	285
477	5926	272
478	5937	260
479	5948	247
480	5962	235
481	5973	223
482	5984	210
483	5996	198
484	6007	185
485	6018	173
486	6030	160
487	6041	148
488	6052	136
489	6064	123
490	6074	111
491	6085	98
492	6102	86
493	6113	74
494	6124	61
495	6138	49
496	6149	37
497	6160	24
498	6176	12
499	6192	0
